FEN,Moves,Moves_UCI,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
1r3rk1/p1n2ppp/b7/P1p1P3/1pNbN3/1P4PB/5P1P/2RR2K1 w - - 0 1,Ncd6,c4d6,0.637680802851238,0.6672810362657015,153,189,c4d6,True,0.637680802851238,0.6672810362657015,153,189,c4d6,True,0.637680802851238,0.6672810362657015,153,189
5rk1/4qpbp/1p2r1p1/pNp1n3/2Pp2P1/3P3P/PP1BPRQ1/5RK1 b - - 0 1,g5,g6g5,0.5764300640989735,0.6689139863954203,83,191,g6g5,True,0.5764300640989735,0.6689139863954203,83,191,g6g5,True,0.5764300640989735,0.6689139863954203,83,191
8/1prr1pkp/4nRp1/2qB2P1/pp2P1PP/P5Q1/1P6/1K3R2 w - - 0 1,axb4,a3b4,0.6805916757369204,0.6754049255580261,205,199,a3b4,True,0.6805916757369204,0.6754049255580261,205,199,a3b4,True,0.6805916757369204,0.6754049255580261,205,199
r4r1k/p1pb4/1p1p3p/3Pq3/2P2p2/3pBN2/PPQ2P1P/6RK w - - 0 1,Qxd3,c2d3,0.6456388220744094,0.6640030811678618,162,185,c2d3,True,0.6456388220744094,0.6640030811678618,162,185,c2d1,False,0.3473005387825596,0.7349601640218837,-171,277
2k4r/2p2rpp/3b1n2/Npp1p1B1/4P3/3R1P2/PP3P1P/3R2K1 w - - 0 1,Rb3,d3b3,0.5867812506441843,0.5936932221056321,95,103,a2a4,False,0.6024894639112851,0.5513672504375507,112,56,d3b3,True,0.5867812506441843,0.5936932221056321,95,103
3r1rk1/b2qnpp1/p1pp3p/4p3/P1P1P3/BN4P1/4PPKP/1R1Q1R2 b - - 0 1,c5,c6c5,0.49053935044862973,0.5147240615881282,-10,16,c6c5,True,0.49053935044862973,0.5147240615881282,-10,16,c6c5,True,0.49053935044862973,0.5147240615881282,-10,16
r2qnrk1/1pp1bppp/p7/3Pp1B1/4P3/P1N2Q2/1P3PPP/2RR2K1 w - - 0 1,Bxe7,g5e7,0.5534476224388827,0.5303398401818216,58,33,g5e3,False,0.5628178834455811,0.5504562746820834,68,55,g5e3,False,0.5628178834455811,0.5504562746820834,68,55
r1q4k/1p3rp1/2pnbp1p/2N5/PR1Pp1P1/4P2P/1Q3PB1/3R2K1 w - - 0 1,Nxe6,c5e6,0.5672318388725036,0.5990111810176295,73,109,c5e6,True,0.5672318388725036,0.5990111810176295,73,109,c5e6,True,0.5672318388725036,0.5990111810176295,73,109
rr6/3nnpk1/2q1b1pp/p1ppP3/PpP2Q1P/5N2/1PBN1PP1/R3R1K1 b - - 0 1,b3,b4b3,0.44135843890873216,0.4259857125367345,-63,-81,b4b3,True,0.44135843890873216,0.4259857125367345,-63,-81,b4b3,True,0.44135843890873216,0.4259857125367345,-63,-81
2rq1rk1/3nbp1p/p1b1p3/1pp2p2/2PP4/1P3NP1/P2NQPBP/3R1RK1 w - - 0 1,d5,d4d5,0.6102791051058327,0.607822300927273,121,119,d4d5,True,0.6102791051058327,0.607822300927273,121,119,d4d5,True,0.6102791051058327,0.607822300927273,121,119
